yearID,lgID,total_AB,total_H,total_2B,total_3B,total_HR,total_TB,SLG,DH_state
2020,NL,29399,7245,1402,126,1161,12382,0.42117078812204495,Universal DH (2020)
1997,NL,77203,20300,3907,485,2163,31666,0.4101654080799969,NL no DH
2011,NL,88119,22263,4394,487,2281,34474,0.39122096256199,NL no DH
1964,NL,55284,14032,2161,427,1211,20680,0.3740684465668186,No DH (both)
1965,NL,55377,13794,2122,422,1318,20714,0.3740542102316846,No DH (both)
2019,AL,83557,21154,4318,385,3478,36676,0.43893390140861926,DH in AL; NL no DH
1951,AL,42361,11103,1836,349,839,16154,0.3813413281084016,No DH (both)
1981,NL,43654,11141,1881,354,719,15887,0.3639299949603702,NL no DH
2016,NL,82635,20977,4100,502,2657,34052,0.41207720699461486,NL no DH
1996,AL,79090,21922,4205,421,2742,35195,0.4449993678088254,DH in AL; NL no DH
1949,AL,41669,10961,1737,391,769,15787,0.37886678346012626,No DH (both)
2018,NL,82722,20403,3993,457,2685,33365,0.403338894127318,NL no DH
1993,NL,77489,20427,3588,513,1956,30909,0.3988824220211901,NL no DH
1975,NL,66102,17002,2781,458,1233,24398,0.36909624519681705,NL no DH
1982,NL,66263,17085,2823,445,1299,24695,0.37268158700934156,NL no DH
1969,AL,65536,16120,2385,378,1649,24208,0.369384765625,No DH (both)
1976,AL,65711,16820,2588,467,1122,23708,0.3607919526411103,DH in AL; NL no DH
2006,NL,88844,23501,4834,561,2840,37977,0.427457115843501,NL no DH
1961,NL,42128,11029,1749,350,1196,17066,0.4050987466767945,No DH (both)
1982,AL,77886,20566,3493,519,2080,31337,0.4023444521480112,DH in AL; NL no DH
2023,NL,82094,20525,4098,370,2943,34192,0.41649816064511413,Universal DH (2022+)
2014,NL,82491,20562,4005,459,2025,31560,0.38258719132996327,NL no DH
2019,NL,83094,20885,4213,400,3298,35792,0.43074108840590175,NL no DH
1999,AL,78126,21447,4121,419,2635,34311,0.4391751785577145,DH in AL; NL no DH
1992,NL,65748,16538,2967,459,1262,24209,0.36820891890247615,NL no DH
1979,NL,66088,17229,2886,518,1427,25432,0.3848202396804261,NL no DH
1952,AL,42317,10690,1716,339,794,15466,0.36547959448921236,No DH (both)
1946,NL,42094,10762,1752,382,562,14964,0.355490093600038,No DH (both)
2007,NL,89489,23796,4898,505,2705,37819,0.4226106001854977,NL no DH
1965,AL,54362,13158,2077,365,1370,20075,0.36928369081343587,No DH (both)
1994,NL,55068,14695,2784,377,1532,22829,0.41456018014091667,NL no DH
2000,AL,78547,21652,4269,420,2688,34825,0.4433651189733535,DH in AL; NL no DH
2013,AL,83380,21325,4183,348,2504,33716,0.4043655552890381,DH in AL; NL no DH
1957,NL,42919,11162,1733,365,1178,17159,0.3997996225447937,No DH (both)
1948,AL,42155,11212,1846,450,710,16088,0.3816391887083383,No DH (both)
2020,AL,29631,7194,1421,115,1143,12274,0.4142283419391853,Universal DH (2020)
2021,NL,80604,19522,3907,354,2885,32792,0.4068284452384497,NL no DH
1995,AL,69522,18791,3591,406,2164,29686,0.42700152469721814,DH in AL; NL no DH
2024,NL,82127,20272,3963,360,2739,33172,0.40391101586567146,Universal DH (2022+)
1961,AL,54904,14037,2226,404,1534,21673,0.3947435523823401,No DH (both)
1991,AL,77603,20195,3680,453,1953,30640,0.39483009677460923,DH in AL; NL no DH
2005,NL,88120,23058,4754,468,2580,36488,0.41407172038129825,NL no DH
1972,AL,61712,14751,2260,316,1175,21168,0.3430127041742287,No DH (both)
1993,AL,77506,20661,3861,427,2074,31598,0.4076845663561531,DH in AL; NL no DH
2004,NL,88622,23271,4687,494,2846,37484,0.42296495226918823,NL no DH
2012,NL,87814,22283,4453,558,2434,35154,0.40032341084565104,NL no DH
2009,AL,77965,20783,4131,388,2560,33370,0.4280125697428333,DH in AL; NL no DH
2017,NL,82533,20985,4203,461,2935,34915,0.423042904050501,NL no DH
1974,NL,66212,16907,2642,447,1280,24283,0.3667462091463783,NL no DH
1947,NL,42434,11264,1860,392,886,16566,0.3903944949804402,No DH (both)
1955,NL,41773,10808,1677,362,1263,16998,0.4069135566035477,No DH (both)
2001,AL,78134,20852,4200,440,2506,33450,0.42811068164947397,DH in AL; NL no DH
1983,AL,77821,20662,3710,549,1903,31179,0.4006502100975315,DH in AL; NL no DH
1990,AL,76800,19900,3559,460,1796,29767,0.3875911458333333,DH in AL; NL no DH
1960,AL,41838,10689,1720,274,1086,16215,0.38756632726229745,No DH (both)
1987,NL,66276,17275,3126,435,1824,26743,0.4035095660570946,NL no DH
1964,AL,55180,13637,2109,333,1551,21065,0.38175063428778544,No DH (both)
1973,AL,66276,17193,2624,404,1552,25281,0.381450298750679,DH in AL; NL no DH
2016,AL,82926,21299,4154,371,2953,35054,0.4227142271422714,DH in AL; NL no DH
1955,AL,41817,10802,1574,338,961,15935,0.381065117057656,No DH (both)
2001,NL,88100,23027,4613,488,2952,37472,0.42533484676503974,NL no DH
1950,AL,42407,11474,1829,423,973,17068,0.4024807225222251,No DH (both)
1971,AL,64641,15957,2426,351,1484,23537,0.36411874816293066,No DH (both)
1983,NL,65717,16781,2753,484,1398,24696,0.37579317376021426,NL no DH
2023,AL,82324,20314,4130,342,2925,33903,0.411824012438657,Universal DH (2022+)
1980,AL,77888,20958,3489,553,1844,31085,0.3990987058340181,DH in AL; NL no DH
1999,NL,89011,23880,4619,512,2893,38202,0.42918290997741854,NL no DH
1968,AL,53709,12359,1874,338,1104,18221,0.3392541287307528,No DH (both)
1973,NL,66087,16817,2600,386,1550,24839,0.37585304220194593,NL no DH
1956,NL,41849,10716,1659,372,1219,16776,0.40086979378240817,No DH (both)
1954,NL,42027,11142,1816,403,1114,17106,0.40702405596402313,No DH (both)
1978,NL,65156,16556,2861,482,1276,24209,0.3715544232304009,NL no DH
2022,AL,81816,19839,3956,295,2557,32056,0.39180600371565466,Universal DH (2022+)
1995,NL,69049,18184,3367,418,1917,28138,0.40750771191472723,NL no DH
1998,AL,78416,21276,4248,408,2499,33837,0.43150632523974697,DH in AL; NL no DH
1976,NL,65814,16778,2652,499,1113,23767,0.3611237730574042,NL no DH
1996,NL,77711,20398,3782,434,2220,31708,0.4080246039814183,NL no DH
1974,AL,66044,17062,2564,400,1369,24533,0.3714644782266368,DH in AL; NL no DH
1985,AL,77257,20182,3562,528,2178,31334,0.4055813712673285,DH in AL; NL no DH
1959,NL,42330,11015,1788,324,1159,16928,0.3999055043704229,No DH (both)
2006,AL,78497,21572,4301,391,2546,34293,0.43687019886110295,DH in AL; NL no DH
1959,AL,41964,10621,1690,267,1091,16118,0.3840911257268135,No DH (both)
1994,AL,55198,15048,2939,325,1774,23959,0.4340555817239755,DH in AL; NL no DH
2008,NL,88595,23071,4729,478,2608,36580,0.4128901179524804,NL no DH
2017,AL,83034,21230,4194,334,3170,35602,0.4287641207216321,DH in AL; NL no DH
1958,AL,41684,10595,1623,290,1057,15969,0.3830966318011707,No DH (both)
2011,AL,77586,20004,4005,411,2271,31644,0.4078570876189003,DH in AL; NL no DH
1981,AL,50813,13016,2119,305,1062,18931,0.37256213960994233,DH in AL; NL no DH
1958,NL,42143,11026,1769,365,1183,17074,0.40514438934105307,No DH (both)
2014,AL,83123,21033,4132,390,2161,32428,0.39012066455734273,DH in AL; NL no DH
1989,NL,65817,16215,2903,411,1365,24035,0.36517920901894646,NL no DH
2015,AL,82836,21159,4166,459,2634,34145,0.41220000965763676,DH in AL; NL no DH
1989,AL,77004,20078,3404,457,1718,29550,0.383746298893564,DH in AL; NL no DH
1988,AL,77005,19967,3558,425,1901,30078,0.39059801311603143,DH in AL; NL no DH
2002,NL,87794,22753,4482,488,2595,35996,0.41000523953800944,NL no DH
2010,AL,77467,20131,4016,368,2209,31510,0.40675384357210165,DH in AL; NL no DH
2008,AL,78119,20901,4285,408,2270,32812,0.4200258579858933,DH in AL; NL no DH
1969,NL,65751,16461,2455,471,1470,24268,0.36908944350656264,No DH (both)
1957,AL,41987,10703,1663,307,1024,16052,0.3823088098697216,No DH (both)
1972,NL,63116,15683,2392,430,1359,23012,0.3645985170162875,No DH (both)
1953,AL,42358,11117,1816,331,879,16232,0.3832097832758865,No DH (both)
2004,AL,78731,21251,4232,404,2605,34106,0.4331965807623427,DH in AL; NL no DH
1985,NL,65818,16596,2861,437,1424,24603,0.37380351879425083,NL no DH
1963,AL,55011,13609,2114,352,1489,20894,0.37981494610168876,No DH (both)
2012,AL,77437,19780,3808,369,2500,31826,0.41099216136988775,DH in AL; NL no DH
1980,NL,66272,17186,2856,523,1243,24817,0.37447187349106714,NL no DH
1978,AL,76411,19952,3325,538,1680,29393,0.38466974650246694,DH in AL; NL no DH
1954,AL,41909,10766,1639,386,823,15646,0.37333269703405,No DH (both)
1953,NL,42639,11342,1777,414,1197,17538,0.4113135861535214,No DH (both)
1962,NL,55449,14453,2075,453,1449,21781,0.39281141228876987,No DH (both)
1966,NL,55385,14202,2099,412,1378,21259,0.3838403899972917,No DH (both)
1951,NL,42704,11088,1746,367,1024,16640,0.38965904833270887,No DH (both)
2003,AL,78311,20931,4170,443,2499,33484,0.4275772241447562,DH in AL; NL no DH
1977,AL,77275,20572,3408,644,2013,31307,0.4051374959560013,DH in AL; NL no DH
2024,AL,81560,19551,3808,337,2714,32175,0.394494850416871,Universal DH (2022+)
1986,AL,77376,20237,3520,468,2290,31563,0.4079171836228288,DH in AL; NL no DH
1947,AL,42002,10739,1708,412,679,15308,0.36445883529355744,No DH (both)
1950,NL,42416,11085,1885,370,1100,17010,0.401027913994719,No DH (both)
1997,AL,78235,21171,4097,398,2477,33495,0.42813318847063336,DH in AL; NL no DH
1988,NL,65563,16277,2828,415,1279,23772,0.3625825541845248,NL no DH
1946,AL,42239,10793,1827,401,653,15381,0.36414214351665525,No DH (both)
1949,NL,42711,11207,1865,370,935,16617,0.38905668329001897,No DH (both)
2005,AL,78215,20933,4109,420,2437,33193,0.42438151249760275,DH in AL; NL no DH
1979,AL,76704,20682,3529,548,2006,31325,0.4083880892782645,DH in AL; NL no DH
1962,AL,55239,14068,2238,400,1552,21762,0.3939607885732906,No DH (both)
1960,NL,42176,10745,1722,384,1042,16361,0.38792204097116845,No DH (both)
1984,NL,65919,16842,2770,451,1278,24348,0.36936239930824194,NL no DH
1984,AL,77910,20539,3443,534,1980,30990,0.39776665383134385,DH in AL; NL no DH
2002,AL,77788,20519,4218,433,2464,32995,0.42416568108191494,DH in AL; NL no DH
1990,NL,65968,16917,2967,405,1521,25257,0.38286745088527774,NL no DH
2000,NL,88743,23594,4632,532,3005,38305,0.43163967862253927,NL no DH
1966,AL,54082,13005,2021,408,1365,19937,0.36864391109796235,No DH (both)
1992,AL,77147,20006,3596,386,1776,29702,0.3850052497180707,DH in AL; NL no DH
1968,NL,54913,13351,1995,359,891,18737,0.34121246335111904,No DH (both)
2022,NL,81649,19836,3984,348,2658,32490,0.3979228159561048,Universal DH (2022+)
1977,NL,66700,17465,3033,526,1631,26443,0.39644677661169414,NL no DH
1967,NL,55026,13698,2133,427,1102,19991,0.36330098498891433,No DH (both)
1970,AL,65675,16404,2492,373,1746,24880,0.3788351732013704,No DH (both)
1971,NL,65903,16590,2505,457,1379,24146,0.3663869626572387,No DH (both)
2010,NL,87886,22423,4470,498,2404,35101,0.3993923946931252,NL no DH
2007,AL,78294,21181,4299,433,2252,33102,0.4227910184688482,DH in AL; NL no DH
1963,NL,54803,13434,1984,439,1215,19941,0.3638669415907888,No DH (both)
2018,AL,82710,20615,4271,390,2900,34366,0.41549993954781766,DH in AL; NL no DH
2003,NL,88426,23126,4657,491,2708,36889,0.4171736819487481,NL no DH
1956,AL,42007,10937,1680,353,1075,16548,0.39393434427595403,No DH (both)
1952,NL,41878,10582,1672,338,907,15651,0.3737284493051244,No DH (both)
2009,NL,87884,22741,4606,561,2482,35915,0.40866369304992944,NL no DH
1970,NL,66465,17151,2743,554,1683,26051,0.3919506507184232,No DH (both)
1991,NL,65365,16363,2819,441,1430,24354,0.37258471659144804,NL no DH
2021,AL,81337,19962,3956,317,3059,33729,0.41468212498616863,DH in AL; NL no DH
1967,AL,54179,12766,1949,365,1197,19036,0.35135384558592814,No DH (both)
2015,NL,82652,20947,4076,480,2275,32808,0.39694139282775975,NL no DH
1975,AL,65371,16861,2662,429,1465,24776,0.37900598124550644,DH in AL; NL no DH
1998,NL,88700,23213,4493,491,2565,36383,0.41018038331454343,NL no DH
1987,AL,77819,20620,3667,461,2634,33111,0.42548734884796774,DH in AL; NL no DH
2013,NL,82690,20768,4039,424,2157,32126,0.38851130729229655,NL no DH
1948,NL,42256,11022,1840,384,845,16165,0.3825492237788716,No DH (both)
1986,NL,65730,16643,2991,387,1523,24977,0.37999391449870684,NL no DH
